№,Code,Brow.,Chart,Applᵈ,Goog,Twtr.,One,FB,FBM,Sams.,Wind.,GMail,SB,DCM,KDDI,Name,Date,Keywords
1,U+1F600,😀,,,,,,,,,,,—,—,—,grinning face,2012,face | grin
2,U+1F601,😁,,,,,,,,,,,,,,grinning face with smiling eyes,2010,eye | face | grin | smile
3,U+1F602,😂,,,,,,,,,,,,—,,face with tears of joy,2010,face | joy | laugh | tear
4,U+1F923,🤣,,,,,,,—,,,—,—,—,—,rolling on the floor laughing,2016,face | floor | laugh | rolling
5,U+1F603,😃,,,,,,,,,,,,,,smiling face with open mouth,2010,face | mouth | open | smile
6,U+1F604,😄,,,,,,,,,,,,—,—,smiling face with open mouth & smiling eyes,2010,eye | face | mouth | open | smile
7,U+1F605,😅,,,,,,,,,,,—,,—,smiling face with open mouth & cold sweat,2010,cold | face | open | smile | sweat
8,U+1F606,😆,,,,,,,,,,,—,,—,smiling face with open mouth & closed eyes,2010,face | laugh | mouth | open | satisfied | smile
9,U+1F609,😉,,,,,,,,,,,,,,winking face,2010,face | wink
10,U+1F60A,😊,,,,,,,,,,,,—,,smiling face with smiling eyes,2010,blush | eye | face | smile
11,U+1F60B,😋,,,,,,,,,,,—,,—,face savouring delicious food,2010,delicious | face | savouring | smile | um | yum
12,U+1F60E,😎,,,,,,,,,,,—,—,—,smiling face with sunglasses,2010,bright | cool | eye | eyewear | face | glasses | smile | sun | sunglasses
13,U+1F60D,😍,,,,,,,,,,,,,,smiling face with heart-eyes,2010,eye | face | love | smile
14,U+1F618,😘,,,,,,,,,,,,—,,face blowing a kiss,2010,face | kiss
15,U+1F617,😗,,,,,,,,,,—,—,—,—,kissing face,2012,face | kiss
16,U+1F619,😙,,,,,,,,,,—,—,—,—,kissing face with smiling eyes,2012,eye | face | kiss | smile
17,U+1F61A,😚,,,,,,,,,,,,—,,kissing face with closed eyes,2010,closed | eye | face | kiss
18,U+263A,☺,,,,,,,,,,,,—,,smiling face,1995,face | outlined | relaxed | smile
19,U+1F642,🙂,,,,,,,,,,,—,—,—,slightly smiling face,2014,face | smile
20,U+1F917,🤗,,,,,,,—,,,—,—,—,—,hugging face,2015,face | hug | hugging
21,U+1F914,🤔,,,,,,,—,,,—,—,—,—,thinking face,2015,face | thinking
22,U+1F610,😐,,,,,,,,,,—,—,—,—,neutral face,2010,deadpan | face | neutral
23,U+1F611,😑,,,,,,,,,,—,—,—,—,expressionless face,2012,expressionless | face | inexpressive | unexpressive
24,U+1F636,😶,,,,,,,,,,—,—,—,—,face without mouth,2010,face | mouth | quiet | silent
25,U+1F644,🙄,,,,,,,—,,,—,—,—,—,face with rolling eyes,2015,eyes | face | rolling
26,U+1F60F,😏,,,,,,,,,,,,,,smirking face,2010,face | smirk
27,U+1F623,😣,,,,,,,,,,,,,,persevering face,2010,face | persevere
28,U+1F625,😥,,,,,,,,,,,,—,—,disappointed but relieved face,2010,disappointed | face | relieved | whew
29,U+1F62E,😮,,,,,,,,,,—,—,—,—,face with open mouth,2012,face | mouth | open | sympathy
30,U+1F910,🤐,,,,,,,—,,,—,—,—,—,zipper-mouth face,2015,face | mouth | zipper
31,U+1F62F,😯,,,,,,,,,,—,—,—,—,hushed face,2012,face | hushed | stunned | surprised
32,U+1F62A,😪,,,,,,,,,,,,—,,sleepy face,2010,face | sleep
33,U+1F62B,😫,,,,,,,,,,,—,—,,tired face,2010,face | tired
34,U+1F634,😴,,,,,,,,,,—,—,—,—,sleeping face,2012,face | sleep | zzz
35,U+1F60C,😌,,,,,,,,,,,,,,relieved face,2010,face | relieved
36,U+1F913,🤓,,,,,,,—,,,—,—,—,—,nerd face,2015,face | geek | nerd
37,U+1F61B,😛,,,,,,,,,,—,—,—,—,face with stuck-out tongue,2012,face | tongue
38,U+1F61C,😜,,,,,,,,,,,,,,face with stuck-out tongue & winking eye,2010,eye | face | joke | tongue | wink
39,U+1F61D,😝,,,,,,,,,,,,—,—,face with stuck-out tongue & closed eyes,2010,eye | face | horrible | taste | tongue
40,U+1F924,🤤,,,,,,,—,,,—,—,—,—,drooling face,2016,drooling | face
41,U+1F612,😒,,,,,,,,,,,,,,unamused face,2010,face | unamused | unhappy
42,U+1F613,😓,,,,,,,,,,,,,,face with cold sweat,2010,cold | face | sweat
43,U+1F614,😔,,,,,,,,,,,,,,pensive face,2010,dejected | face | pensive
44,U+1F615,😕,,,,,,,,,,,—,—,—,confused face,2012,confused | face
45,U+1F643,🙃,,,,,,,—,,,—,—,—,—,upside-down face,2015,face | upside-down
46,U+1F911,🤑,,,,,,,—,,,—,—,—,—,money-mouth face,2015,face | money | mouth
47,U+1F632,😲,,,,,,,,,,,,—,,astonished face,2010,astonished | face | shocked | totally
48,U+2639,☹,,,,,,,—,,,—,—,—,—,frowning face,1995,face | frown
49,U+1F641,🙁,,,,,,,—,,,—,—,—,—,slightly frowning face,2014,face | frown
50,U+1F616,😖,,,,,,,,,,,,,,confounded face,2010,confounded | face
51,U+1F61E,😞,,,,,,,,,,,,,—,disappointed face,2010,disappointed | face
52,U+1F61F,😟,,,,,,,,,,,—,—,—,worried face,2012,face | worried
53,U+1F624,😤,,,,,,,,,,,—,—,,face with steam from nose,2010,face | triumph | won
54,U+1F622,😢,,,,,,,,,,,,,,crying face,2010,cry | face | sad | tear
55,U+1F62D,😭,,,,,,,,,,,,,,loudly crying face,2010,cry | face | sad | sob | tear
56,U+1F626,😦,,,,,,,,,,—,—,—,—,frowning face with open mouth,2012,face | frown | mouth | open
57,U+1F627,😧,,,,,,,,,,—,—,—,—,anguished face,2012,anguished | face
58,U+1F628,😨,,,,,,,,,,,,—,,fearful face,2010,face | fear | fearful | scared
59,U+1F629,😩,,,,,,,,,,,—,—,,weary face,2010,face | tired | weary
60,U+1F62C,😬,,,,,,,,,,—,—,—,—,grimacing face,2012,face | grimace
61,U+1F630,😰,,,,,,,,,,,,—,,face with open mouth & cold sweat,2010,blue | cold | face | mouth | open | rushed | sweat
62,U+1F631,😱,,,,,,,,,,,,,,face screaming in fear,2010,face | fear | fearful | munch | scared | scream
63,U+1F633,😳,,,,,,,,,,,,—,,flushed face,2010,dazed | face | flushed
64,U+1F635,😵,,,,,,,,,,,—,,,dizzy face,2010,dizzy | face
65,U+1F621,😡,,,,,,,,,,,,,,pouting face,2010,angry | face | mad | pouting | rage | red
66,U+1F620,😠,,,,,,,,,,,,,,angry face,2010,angry | face | mad
67,U+1F607,😇,,,,,,,,,,—,—,—,—,smiling face with halo,2010,angel | face | fairy tale | fantasy | halo | innocent | smile
68,U+1F920,🤠,,,,,,,—,,,—,—,—,—,cowboy hat face,2016,cowboy | cowgirl | face | hat
69,U+1F921,🤡,,,,,,,—,,,—,—,—,—,clown face,2016,clown | face
70,U+1F925,🤥,,,,,,,—,,,—,—,—,—,lying face,2016,face | lie | pinocchio
71,U+1F637,😷,,,,,,,,,,,,—,,face with medical mask,2010,cold | doctor | face | mask | medicine | sick
72,U+1F912,🤒,,,,,,,—,,,—,—,—,—,face with thermometer,2015,face | ill | sick | thermometer
73,U+1F915,🤕,,,,,,,—,,,—,—,—,—,face with head-bandage,2015,bandage | face | hurt | injury
74,U+1F922,🤢,,,,,,,—,,,—,—,—,—,nauseated face,2016,face | nauseated | vomit
75,U+1F927,🤧,,,,,,,—,,,—,—,—,—,sneezing face,2016,face | gesundheit | sneeze
76,U+1F608,😈,,,,,,,,,,—,—,—,—,smiling face with horns,2010,face | fairy tale | fantasy | horns | smile
77,U+1F47F,👿,,,,,,,,,,,,—,,angry face with horns,2010,demon | devil | face | fairy tale | fantasy | imp
78,U+1F479,👹,,,,,,,,,,,—,—,,ogre,2010,creature | face | fairy tale | fantasy | Japanese | monster
79,U+1F47A,👺,,,,,,,,,,,—,—,,goblin,2010,creature | face | fairy tale | fantasy | Japanese | monster
80,U+1F480,💀,,,,,,,,,,,,—,,skull,2010,death | face | fairy tale | monster
81,U+2620,☠,,,,,,,—,,,—,—,—,—,skull and crossbones,1995,crossbones | death | face | monster | skull
